alert_key,date
171189,0
171202,0
171599,0
171737,0
171142,0
171178,0
171377,0
171207,0
171197,0
171180,0
171369,0
171751,0
171586,0
171584,0
171616,0
171375,0
171612,0
171593,0
171451,0
171597,0
171782,0
171738,0
171448,0
171787,0
171790,0
171503,0
171495,0
171606,0
171387,0
171501,0
171494,0
171602,0
171209,0
171704,0
171587,0
171363,0
171605,0
171600,0
171783,0
171152,0
171487,0
171378,0
171703,0
171595,0
171770,0
171364,0
171192,0
171764,0
171320,0
171500,0
171201,0
171389,0
171379,0
171455,0
171371,0
171739,0
171447,0
171177,0
171368,0
171741,0
171181,0
171504,0
171842,0
171479,0
171496,0
171702,0
171446,0
171765,0
171598,0
171592,0
171753,0
171755,0
171760,0
171589,0
171367,0
171361,0
171777,0
171585,0
171200,0
171385,0
171324,0
171362,0
171769,0
171610,0
171603,0
171759,0
171767,0
171357,0
172209,5
172055,5
172021,5
172429,5
172234,5
172496,5
172218,5
172178,5
172642,5
172237,5
172249,5
172261,5
172253,5
172379,5
172543,5
172033,5
172433,5
172500,5
172516,5
172644,5
172647,5
172020,5
171994,5
172202,5
172474,5
172551,5
172457,5
172488,5
171960,5
171965,5
172657,5
172032,5
172558,5
172220,5
172494,5
172649,5
172239,5
172550,5
172014,5
172539,5
172039,5
172138,5
172049,5
172443,5
172019,5
172467,5
172481,5
172674,5
172480,5
172542,5
172664,5
172515,5
172047,5
172377,5
172240,5
172507,5
172626,5
172053,5
172023,5
172035,5
172611,5
172027,5
172061,5
172510,5
172381,5
172596,5
172523,5
172490,5
172016,5
172514,5
172355,5
172431,5
172042,5
172554,5
172517,5
172489,5
172612,5
172715,5
172201,5
172548,5
172238,5
172544,5
172461,5
172635,5
172029,5
172011,5
172002,5
172660,5
171984,5
172389,5
172012,5
172038,5
172003,5
172176,5
171970,5
172512,5
172198,5
171959,5
172557,5
172255,5
172248,5
172009,5
172659,5
172485,5
172225,5
172456,5
172666,5
172498,5
172058,5
172671,5
172228,5
172497,5
172670,5
172520,5
171996,5
172384,5
172555,5
171961,5
172242,5
172470,5
172208,5
172471,5
172656,5
172211,5
172245,5
172224,5
172387,5
172229,5
171986,5
172436,5
172375,5
172368,5
172643,5
172026,5
172251,5
172540,5
172529,5
172553,5
172634,5
172353,5
172040,5
172513,5
172663,5
171997,5
172492,5
172477,5
172230,5
172199,5
172365,5
172472,5
172549,5
172219,5
173986,6
172910,6
172906,6
173935,6
173232,6
173270,6
172919,6
173514,6
173875,6
173933,6
173814,6
173813,6
173572,6
173940,6
173526,6
172826,6
173224,6
173547,6
173616,6
173528,6
173191,6
173569,6
173249,6
173311,6
172812,6
172858,6
172900,6
172943,6
173278,6
172934,6
173521,6
173943,6
172881,6
173900,6
173911,6
172926,6
172885,6
172938,6
173272,6
173984,6
173294,6
173241,6
172873,6
173578,6
173934,6
173583,6
172891,6
172893,6
172855,6
173586,6
173281,6
173260,6
172947,6
173290,6
173929,6
173997,6
173611,6
173184,6
173495,6
172915,6
173529,6
173902,6
173298,6
172939,6
173176,6
173598,6
173846,6
173597,6
173905,6
173274,6
173815,6
173255,6
173516,6
172897,6
173496,6
173581,6
173593,6
173965,6
172886,6
173608,6
172932,6
172945,6
172901,6
173614,6
173931,6
173266,6
172918,6
174087,6
172814,6
173546,6
173982,6
172846,6
173849,6
172892,6
173619,6
172912,6
173612,6
173288,6
173280,6
173590,6
173955,6
173549,6
172898,6
173254,6
173948,6
173922,6
173279,6
173273,6
173295,6
172875,6
173300,6
173252,6
173835,6
173926,6
173595,6
172913,6
173927,6
172956,6
173952,6
173828,6
173235,6
173925,6
172928,6
173605,6
173234,6
173601,6
173173,6
172931,6
173958,6
173548,6
173959,6
173567,6
173256,6
173600,6
173505,6
173945,6
172883,6
173615,6
172905,6
173545,6
173627,6
172802,6
173164,6
172878,6
173517,6
172817,6
173856,6
172884,6
173269,6
173621,6
173206,6
172914,6
173592,6
173603,6
173596,6
172930,6
173641,6
172848,6
173622,6
173513,6
173857,6
173570,6
173172,6
173265,6
173177,6
173226,6
172909,6
173962,6
173267,6
173225,6
173920,6
173818,6
173908,6
173877,6
172955,6
173518,6
173599,6
174522,7
174628,7
174511,7
174491,7
174227,7
174531,7
174524,7
174233,7
174681,7
174544,7
174728,7
174346,7
174646,7
174242,7
174318,7
174475,7
174670,7
174342,7
174234,7
174323,7
174664,7
174239,7
174344,7
174590,7
174251,7
174253,7
174350,7
174694,7
174662,7
174254,7
174326,7
174298,7
174332,7
174534,7
174533,7
174345,7
174492,7
174341,7
174202,7
174543,7
174679,7
174245,7
174532,7
174526,7
174680,7
174497,7
174514,7
174327,7
174677,7
174231,7
174240,7
174353,7
174519,7
174338,7
174255,7
174686,7
174211,7
174334,7
174674,7
174539,7
174667,7
174596,7
174329,7
174241,7
174261,7
174656,7
174663,7
174336,7
174247,7
174322,7
174248,7
174518,7
174541,7
174493,7
174547,7
174528,7
174246,7
174339,7
174545,7
174685,7
174551,7
174689,7
174658,7
174986,8
175136,8
174847,8
174996,8
175146,8
175110,8
175143,8
175277,8
174984,8
175135,8
174987,8
175260,8
175285,8
175276,8
175279,8
174829,8
174998,8
174857,8
175274,8
174991,8
175266,8
175255,8
174844,8
174862,8
174840,8
175262,8
174992,8
175290,8
175264,8
174837,8
175263,8
175324,8
174997,8
174849,8
175041,8
174863,8
175131,8
174995,8
174988,8
174957,8
175250,8
175281,8
175253,8
174993,8
175247,8
175004,8
175010,8
175045,8
174838,8
174833,8
174834,8
175225,8
175120,8
175273,8
175271,8
175043,8
175000,8
175227,8
174851,8
175142,8
174839,8
175251,8
175134,8
175049,8
175278,8
175265,8
175127,8
175003,8
174855,8
174976,8
174852,8
174952,8
175044,8
174859,8
175144,8
175140,8
175283,8
175132,8
174812,8
174979,8
175280,8
175124,8
175118,8
174867,8
174802,8
175130,8
177193,11
176199,11
176823,11
177664,11
176115,11
175628,11
176550,11
176205,11
176331,11
177562,11
177168,11
176280,11
175862,11
177649,11
176363,11
176352,11
177354,11
177284,11
175763,11
177297,11
177648,11
175415,11
176010,11
175813,11
177440,11
