alert_key,sar_flag
171189,0
171202,0
171599,0
171737,0
171142,0
171178,0
171377,0
171207,0
171197,0
171180,0
171369,0
171751,0
171586,0
171584,0
171616,0
171375,0
171612,0
171593,0
171451,0
171597,0
171782,0
171738,0
171448,0
171787,0
171790,0
171503,0
171495,0
171606,0
171387,0
171501,0
171494,0
171602,0
171209,0
171704,0
171587,0
171363,0
171605,0
171600,0
171783,0
171152,0
171487,0
171378,0
171703,0
171595,0
171770,1
171364,0
171192,0
171764,0
171320,0
171500,0
171201,0
171389,0
171379,0
171455,0
171371,0
171739,0
171447,0
171177,0
171368,0
171741,0
171181,0
171504,0
171842,0
171479,0
171496,0
171702,0
171446,0
171765,0
171598,0
171592,0
171753,0
171755,0
171760,0
171589,0
171367,0
171361,0
171777,0
171585,0
171200,0
171385,0
171324,0
171362,0
171769,0
171610,0
171603,0
171759,0
171767,0
171357,0
172209,0
172055,0
172021,0
172429,0
172234,0
172496,0
172218,0
172178,0
172642,0
172237,0
172249,0
172261,0
172253,0
172379,0
172543,0
172033,0
172433,0
172500,0
172516,0
172644,0
172647,0
172020,0
171994,0
172202,0
172474,0
172551,0
172457,0
172488,0
171960,0
171965,0
172657,0
172032,0
172558,0
172220,0
172494,0
172649,0
172239,0
172550,0
172014,0
172539,0
172039,0
172138,0
172049,0
172443,0
172019,0
172467,0
172481,0
172674,0
172480,1
172542,0
172664,0
172515,0
172047,0
172377,0
172240,0
172507,0
172626,0
172053,0
172023,0
172035,0
172611,0
172027,0
172061,0
172510,0
172381,0
172596,0
172523,0
172490,0
172016,0
172514,0
172355,0
172431,0
172042,0
172554,0
172517,0
172489,0
172612,0
172715,0
172201,0
172548,0
172238,0
172544,0
172461,0
172635,0
172029,0
172011,0
172002,0
172660,0
171984,0
172389,0
172012,0
172038,0
172003,0
172176,0
171970,0
172512,0
172198,0
171959,0
172557,0
172255,0
172248,0
172009,0
172659,0
172485,0
172225,0
172456,0
172666,0
172498,0
172058,0
172671,0
172228,0
172497,0
172670,0
172520,0
171996,0
172384,0
172555,0
171961,0
172242,0
172470,0
172208,0
172471,0
172656,0
172211,0
172245,0
172224,0
172387,0
172229,0
171986,0
172436,0
172375,0
172368,0
172643,0
172026,0
172251,0
172540,0
172529,0
172553,0
172634,0
172353,0
172040,0
172513,0
172663,0
171997,0
172492,0
172477,0
172230,0
172199,0
172365,0
172472,0
172549,0
172219,0
173986,0
172910,0
172906,0
173935,0
173232,0
173270,0
172919,0
173514,0
173875,0
173933,0
173814,0
173813,0
173572,0
173940,0
173526,0
172826,0
173224,0
173547,0
173616,0
173528,0
173191,0
173569,0
173249,0
173311,0
172812,0
172858,0
172900,0
172943,0
173278,0
172934,0
173521,0
173943,0
172881,0
173900,0
173911,0
172926,0
172885,0
172938,0
173272,0
173984,0
173294,0
173241,0
172873,0
173578,0
173934,0
173583,0
172891,0
172893,0
172855,0
173586,0
173281,0
173260,0
172947,0
173290,0
173929,0
173997,0
173611,0
173184,0
173495,0
172915,0
173529,0
173902,0
173298,0
172939,0
173176,0
173598,0
173846,0
173597,0
173905,0
173274,0
173815,0
173255,0
173516,0
172897,0
173496,0
173581,0
173593,0
173965,0
172886,0
173608,0
172932,0
172945,0
172901,0
173614,0
173931,0
173266,0
172918,0
174087,0
172814,0
173546,0
173982,0
172846,0
173849,0
172892,0
173619,0
172912,0
173612,0
173288,0
173280,0
173590,0
173955,0
173549,0
172898,0
173254,0
173948,0
173922,0
173279,0
173273,0
173295,0
172875,0
173300,0
173252,0
173835,0
173926,0
173595,0
172913,0
173927,0
172956,0
173952,0
173828,0
173235,0
173925,0
172928,0
173605,0
173234,0
173601,0
173173,0
172931,0
173958,0
173548,0
173959,0
173567,0
173256,0
173600,0
173505,0
173945,0
172883,0
173615,0
172905,0
173545,0
173627,0
172802,0
173164,0
172878,0
173517,0
172817,0
173856,0
172884,0
173269,0
173621,0
173206,0
172914,0
173592,0
173603,0
173596,0
172930,0
173641,0
172848,0
173622,0
173513,0
173857,0
173570,0
173172,0
173265,0
173177,0
173226,0
172909,0
173962,0
173267,0
173225,0
173920,0
173818,0
173908,0
173877,0
172955,0
173518,0
173599,0
174522,0
174628,0
174511,0
174491,0
174227,0
174531,0
174524,0
174233,0
174681,0
174544,0
174728,0
174346,0
174646,0
174242,0
174318,0
174475,0
174670,0
174342,0
174234,0
174323,0
174664,0
174239,0
174344,0
174590,0
174251,0
174253,0
174350,0
174694,0
174662,0
174254,0
174326,0
174298,1
174332,0
174534,0
174533,0
174345,0
174492,0
174341,0
174202,0
174543,0
174679,0
174245,0
174532,0
174526,0
174680,0
174497,0
174514,0
174327,0
174677,0
174231,0
174240,0
174353,0
174519,0
174338,0
174255,0
174686,0
174211,0
174334,0
174674,0
174539,0
174667,0
174596,0
174329,0
174241,0
174261,0
174656,0
174663,0
174336,0
174247,0
174322,0
174248,0
174518,0
174541,0
174493,0
174547,0
174528,0
174246,0
174339,0
174545,0
174685,0
174551,0
174689,0
174658,0
174986,0
175136,0
174847,0
174996,0
175146,0
175110,0
175143,0
175277,0
174984,0
175135,0
174987,0
175260,0
175285,0
175276,0
175279,0
174829,0
174998,0
174857,0
175274,0
174991,0
175266,0
175255,0
174844,0
174862,0
174840,0
175262,0
174992,0
175290,0
175264,0
174837,0
175263,0
175324,0
174997,0
174849,0
175041,0
174863,0
175131,0
174995,0
174988,0
174957,0
175250,0
175281,0
175253,0
174993,0
175247,0
175004,0
175010,0
175045,0
174838,0
174833,0
174834,0
175225,0
175120,0
175273,0
175271,0
175043,0
175000,0
175227,0
174851,0
175142,0
174839,0
175251,0
175134,0
175049,0
175278,0
175265,0
175127,0
175003,0
174855,0
174976,0
174852,0
174952,0
175044,0
174859,0
175144,0
175140,0
175283,0
175132,0
174812,0
174979,0
175280,0
175124,0
175118,0
174867,0
174802,0
175130,0
177193,0
176199,0
176823,0
177664,0
176115,0
175628,0
176550,0
176205,0
176331,0
177562,0
177168,0
176280,0
175862,0
177649,0
176363,0
176352,0
177354,0
177284,0
175763,0
177297,0
177648,0
175415,0
176010,0
175813,0
